Date,       Latitude,   Longitude,        Brand,        Pump, AKI,  Trip Miles,  Total Miles, Gallons,  MPG,    PPG,    Total,  Tires,  MPG-D,  MPH-D,  Service
2013-11-03, 40° 1.729', -105° 15.516',    Boulder Gas,      2,    87,   134.3,       134.3,       6.563,    20.46,  3.319,  21.78,  Stock,  ,       ,       S0
2013-11-17, 40° 1.729', -105° 15.516',    Boulder Gas,      2,    87,   161.8,       296.0,       7.467,    21.67,  3.279,  24.48,  Stock,  ,       ,       S0
2013-11-27, 40° 0.872', -105° 12.775',    Buffalo Gas,      6,    87,   180.8,       477.0,       8.096,    22.33,  3.359,  27.19,  Stock,  ,       ,       S0
2013-12-07, 40° 1.729', -105° 15.516',    Boulder Gas,      6,    87,   265.1,       742.0,       12.073,   21.96,  3.179,  38.38,  Stock,  ,       ,       S0
2013-12-11, 40° 2.170', -105° 15.522',    Circle K,         4,    87,   240.9,       983.0,       9.868,    24.41,  3.179,  31.37,  Stock,  ,       ,       S0
2013-12-15, 40° 8.995', -105° 7.876',     Shell,            3,    87,   188.7,       1172,        8.596,    21.95,  3.059,  26.30,  ,       ,       ,       S0
2013-12-21, 40° 1.770', -105° 15.481',    Conoco,           3,    87,   113.8,       1286,        5.517,    20.62,  3.139,  17.32,  Winter, ,       ,       S0
2014-01-09, 40° 1.729', -105° 15.516',    Boulder Gas,      2,    87,   139.5,       1426,        7.181,    19.42,  3.279,  23.55,  Winter, 21.3,   ,       S0
2014-01-13, 40° 1.770', -105° 15.481',    Conoco,           7,    87,   260.8,       1688,        11.177,   23.33,  3.239,  36.20,  Winter, 25.5,   ,       S0
2014-01-18, 40° 1.729', -105° 15.516',    Boulder Gas,      2,    87,   102.0,       1790,        4.401,    23.18,  3.239,  14.26,  Winter, 25.5,   ,       S0
2014-02-02, 39° 59.132', -105° 14.962',   King Soopers,     5,    87,   175.3,       1965,        8.436,    20.78,  3.019,  25.47,  Winter, 24.0,   ,       S0
2014-02-03, 40° 1.770', -105° 15.481',    Conoco,           3,    87,   249.9,       2215,        10.452,   23.91,  3.219,  33.64,  Winter, 25.2,   ,       S0
2014-02-08, 40° 2.170', -105° 15.522',    Circle K,         7,    87,   186.4,       2402,        8.565,    21.76,  3.239,  27.74,  Winter, 24.3,   ,       S0
2014-02-13, 40° 1.729', -105° 15.516',    Boulder Gas,      8,    87,    79.6,       2481,        4.125,    19.30,  3.439,  14.19,  Winter, 21.3,   ,       S0
2014-03-06, 40.014460, -105.225034,       Conoco,           5,    87,   172.4,       2654,        8.618,    20.00,  3.779,  32.57,  Winter, 21.9,   ,       S0
2014-03-09, 40.029498, -105.258117,       Conoco,           6,    87,   230.4,       2884,        9.016,    25.55,  3.759,  33.89,  Winter, 27.3,   ,       S0
2014-03-17, 40.036236, -105.258763,       Conoco,           6,    87,   130.1,       3014,        5.368,    24.24,  3.719,  19.96,  Winter, 25.8,   ,       S0
2014-03-24, 40.036236, -105.258763,       Conoco,           1,    87,   282.3,       3297,       11.540,    24.46,  3.719,  42.92,  Winter, 27.3,   ,       S0
2014-03-27, 40.072450, -105.201900,       Shell,            5,    87,    93.7,       3390,        3.739,    25.39,  3.739,  13.80,  Winter, 26.1,   ,       S0
2014-03-28, 40.014433, -105.251529,       Conoco,           8,    87,   243.3,       3634,        9.966,    24.41,  3.859,  38.46,  Winter, 26.4,   ,       S1
2014-03-30, 40.029515, -105.258085,       Conoco,           7,    87,   224.9,       3859,        9.192,    24.47,  3.719,  34.19,  Winter, 25.5,   49,     S1
2014-04-04, 39.985541, -105.249371,       King Soopers,     2,    87,   299.6,       4158,       11.046,    27.13,  3.719,  41.08,  Winter, 29.7,   32,     S1
